charBuff[0], 0x00,
charBuff[1], 0x4C,
charBuff[2], 0xF5,
charBuff[3], 0xFF,
charBuff[4], 0xFF,
charBuff[5], 0x6A,
charBuff[6], 0x91,
charBuff[7], 0xD7,
charBuff[8], 0xFF,
charBuff[9], 0xA8,
charBuff[10], 0xFD,
charBuff[11], 0xFF,
charBuff[12], 0xFF,
charBuff[13], 0x7C,
charBuff[14], 0xAA,
charBuff[15], 0x01,
charBuff[16], 0x00,
charBuff[17], 0xBA,
charBuff[18], 0x77,
charBuff[19], 0x60,
charBuff[20], 0xFF,
charBuff[21], 0x4B,
charBuff[22], 0xA9,
charBuff[23], 0x04,
charBuff[24], 0x00,
charBuff[25], 0x91,
charBuff[26], 0x3A,
charBuff[27], 0x91,
charBuff[28], 0x00,
charBuff[29], 0x00,
